seed,source,metric,matlab,ns3,delta,residual_percent,within_descriptive_10_percent_band
128,7,admitted,748,803,-55,-6.8493150684931505,True
129,7,admitted,838,870,-32,-3.67816091954023,True
130,7,admitted,802,1381,-579,-41.92614047791456,False
128,7,delivered,533,574,-41,-7.142857142857143,True
129,7,delivered,608,604,4,0.6622516556291391,True
130,7,delivered,543,771,-228,-29.571984435797667,False
128,8,admitted,588,621,-33,-5.314009661835748,True
129,8,admitted,526,528,-2,-0.3787878787878788,True
130,8,admitted,654,181,473,261.3259668508287,False
128,8,delivered,417,462,-45,-9.74025974025974,True
129,8,delivered,360,368,-8,-2.1739130434782608,True
130,8,delivered,483,133,350,263.1578947368421,False
