seed,node,source,start_s,end_s,mean_nsdp,nsdp_at_least16_seconds
128,4,2,300,600,0.0,0.0
128,4,2,600,900,0.0,0.0
128,4,2,900,1200,0.0,0.0
128,4,2,1200,1500,0.0,0.0
128,4,2,1500,1800,0.0,0.0
128,4,2,1800,2100,0.0,0.0
128,4,2,2100,2400,0.0,0.0
128,4,2,2400,2700,0.0,0.0
128,4,2,2700,3000,0.0,0.0
128,4,2,3000,3300,0.0,0.0
128,4,2,3300,3600,0.0,0.0
128,4,2,3600,3900,0.0,0.0
128,4,2,3900,4200,0.0,0.0
128,4,2,4200,4500,0.0,0.0
128,4,2,4500,4800,0.0,0.0
128,4,2,4800,5100,0.0,0.0
128,4,2,5100,5400,0.0,0.0
128,4,2,5400,5700,0.0,0.0
128,4,2,5700,6000,0.0,0.0
128,4,4,300,600,0.0,0.0
128,4,4,600,900,0.0,0.0
128,4,4,900,1200,0.0,0.0
128,4,4,1200,1500,0.0,0.0
128,4,4,1500,1800,0.0,0.0
128,4,4,1800,2100,0.0,0.0
128,4,4,2100,2400,0.0,0.0
128,4,4,2400,2700,0.0,0.0
128,4,4,2700,3000,0.0,0.0
128,4,4,3000,3300,0.0,0.0
128,4,4,3300,3600,0.0,0.0
128,4,4,3600,3900,0.0,0.0
128,4,4,3900,4200,0.0,0.0
128,4,4,4200,4500,0.0,0.0
128,4,4,4500,4800,0.0,0.0
128,4,4,4800,5100,0.0,0.0
128,4,4,5100,5400,0.0,0.0
128,4,4,5400,5700,0.0,0.0
128,4,4,5700,6000,0.0,0.0
128,4,7,300,600,0.0,0.0
128,4,7,600,900,0.0,0.0
128,4,7,900,1200,0.0,0.0
128,4,7,1200,1500,0.0,0.0
128,4,7,1500,1800,0.0,0.0
128,4,7,1800,2100,0.0,0.0
128,4,7,2100,2400,0.0,0.0
128,4,7,2400,2700,0.0,0.0
128,4,7,2700,3000,0.0,0.0
128,4,7,3000,3300,0.0,0.0
128,4,7,3300,3600,0.0,0.0
128,4,7,3600,3900,0.0,0.0
128,4,7,3900,4200,0.0,0.0
128,4,7,4200,4500,0.0,0.0
128,4,7,4500,4800,0.0,0.0
128,4,7,4800,5100,0.0,0.0
128,4,7,5100,5400,0.0,0.0
128,4,7,5400,5700,0.0,0.0
128,4,7,5700,6000,0.0,0.0
128,4,8,300,600,0.0,0.0
128,4,8,600,900,0.0,0.0
128,4,8,900,1200,0.0,0.0
128,4,8,1200,1500,0.0,0.0
128,4,8,1500,1800,0.0,0.0
128,4,8,1800,2100,0.0,0.0
128,4,8,2100,2400,0.0,0.0
128,4,8,2400,2700,0.0,0.0
128,4,8,2700,3000,0.0,0.0
128,4,8,3000,3300,0.0,0.0
128,4,8,3300,3600,0.0,0.0
128,4,8,3600,3900,0.0,0.0
128,4,8,3900,4200,0.0,0.0
128,4,8,4200,4500,0.0,0.0
128,4,8,4500,4800,0.0,0.0
128,4,8,4800,5100,0.0,0.0
128,4,8,5100,5400,0.0,0.0
128,4,8,5400,5700,0.0,0.0
128,4,8,5700,6000,0.0,0.0
128,8,7,300,600,0.0,0.0
128,8,7,600,900,0.0,0.0
128,8,7,900,1200,0.0,0.0
128,8,7,1200,1500,0.0,0.0
128,8,7,1500,1800,0.0,0.0
128,8,7,1800,2100,0.0,0.0
128,8,7,2100,2400,0.0,0.0
128,8,7,2400,2700,0.0,0.0
128,8,7,2700,3000,0.0,0.0
128,8,7,3000,3300,0.0,0.0
128,8,7,3300,3600,0.0,0.0
128,8,7,3600,3900,0.0,0.0
128,8,7,3900,4200,0.0,0.0
128,8,7,4200,4500,0.0,0.0
128,8,7,4500,4800,0.0,0.0
128,8,7,4800,5100,0.0,0.0
128,8,7,5100,5400,0.0,0.0
128,8,7,5400,5700,0.0,0.0
128,8,7,5700,6000,0.0,0.0
128,8,8,300,600,0.0,0.0
128,8,8,600,900,0.0,0.0
128,8,8,900,1200,0.0,0.0
128,8,8,1200,1500,0.0,0.0
128,8,8,1500,1800,0.0,0.0
128,8,8,1800,2100,0.0,0.0
128,8,8,2100,2400,0.0,0.0
128,8,8,2400,2700,0.0,0.0
128,8,8,2700,3000,0.0,0.0
128,8,8,3000,3300,0.0,0.0
128,8,8,3300,3600,0.0,0.0
128,8,8,3600,3900,0.0,0.0
128,8,8,3900,4200,0.0,0.0
128,8,8,4200,4500,0.0,0.0
128,8,8,4500,4800,0.0,0.0
128,8,8,4800,5100,0.0,0.0
128,8,8,5100,5400,0.0,0.0
128,8,8,5400,5700,0.0,0.0
128,8,8,5700,6000,0.0,0.0
